Date,district_EN,subdistrict_EN,subdistrict_ZH,street_EN,street_ZH,building_name_EN,building_name_ZH,property_type_EN,property_type_ZH,floor_ZH,unit_ZH,site_area_EN,existing_gfa_breakdown,existing_gfa_total,txn_amt, unit_rate_1 ,potential_gfa,av,planning_use_ZH,photo_name,vendor_ZH,buyer_ZH,remark,link,Column1,_longitude_lands,_latitude_lands,_easting_lands,_northing_lands,longitude_lands,latitude_lands,easting_lands,northing_lands
22/12/2020,KLN,MGK,旺角,183 Sai Yee Street,洗衣街183號全幢,Kwai Wah Court,貴華閣,Composite Building,商住大廈,全幢,,NA,1200,1200,135.85,113208.33,NA,NA,住宅（甲類）,saiyeestreet183.jpg,無原業主資料,SILVERWEALTH LAND DEVELOPMENT LIMITED（樂風集團）,,https://ps.hket.com/article/2666542,,114.1707,22.3235,835631.9,820498,114.1707,22.3235,835631.9,820498
24/2/2022,KLN,MGK,旺角,26-36 Sai Yeung Choi Street,西洋菜街26-36號,Yuen King Building,遠景大廈,Shop,商舖,地下,30,NA,500,500,120,"240,000.00",NA,NA,住宅（甲類）,saiyeungchoistreet26-36.jpg,無原業主資料,GOLDEN YIELD INVESTMENT LIMITED,,,,114.1704,22.3178,835600.9,819866.8,114.1704,22.3178,835600.9,819866.8
20/7/2021,KLN,MGK,旺角,2R Sai Yeung Choi Street,西洋菜街2R號,,,Shop,商舖,"地下
入則閣",全層,NA,"1000
1000",2000,102,"51,000.00",NA,NA,住宅（甲類）,saiyeungchoistreet2r.jpg,無原業主資料,Miss CHAN,,,,114.1709,22.3158,835652.5,819645.4,114.1709,22.3158,835652.5,819645.4
21/10/2021,KLN,TKW,土瓜灣,2A-2B San Lau Street,新柳街2A-2B號,,,CAP545,強拍,全幢,,1910,,,136,,17200,7907,住宅（甲類）,sanlaustreet2a-2b.png,無原業主資料,NEW BRILLIANT DEVELOPMENT HOLDINGS LIMITED,強拍，地積比率約9倍,https://ps.hket.com/article/3067001,,114.1867,22.3123,837280.4,819257.8,114.1867,22.3123,837280.4,819257.8
24/1/2020,KLN,HUM,紅磡,2C-2D San Lau Street,新柳街2C-2D號全幢,Ko Shan Tower,高山居,Composite Building,商住大廈,全幢,,NA,13240,13240,175,13217.52,NA,NA,住宅（甲類）,sanlaustreet2c-2d.jpg,無原業主資料,NEW BRILLIANT DEVELOPMENT HOLDINGS LIMITED,,,,114.1861,22.3126,837218.6,819291,114.1861,22.3126,837218.6,819291
4/9/2020,KLN,KLC,九龍城,83 Sa Po Road,沙浦道83號,Billionnaire Royale,御．豪門,Shop,商舖,"地下
一樓
二樓",2,NA,"2179
23265
21809",47253,457,"9,671.34",NA,NA,住宅（甲類）,saporoad83.jpg,無原業主資料,Ms BOURNE VANESSA,,https://finance.mingpao.com/fin/dailyp/20200905/1599242537737/%E4%BC%8D%E5%80%AB%E8%B2%A2%E5%AD%B8%E9%99%A24-6%E5%84%84%E8%B3%BC%E5%BE%A1-%E8%B1%AA%E9%96%80%E8%88%96,,114.1922,22.3307,837846.9,821295.4,114.1922,22.3307,837846.9,821295.4
14/7/2021,KLN,YMT,油麻地,343-345 Shanghai Street,上海街343-345號全幢,,,Composite Building,商住大廈,全幢,,NA,1200,1200,183.8,153166.67,NA,NA,住宅（甲類）,shanghaistreet343-345.jpg,無原業主資料,LUKS INDUSTRIAL COMPANY LIMITED,,https://www.singtao.ca/5004833/2021-06-16/news-%E9%84%A7%E6%88%90%E6%B3%A2%E5%AE%B6%E6%97%8F%E9%80%BE1.8%E5%84%84%E6%B2%BD%E4%B8%8A%E6%B5%B7%E8%A1%97%E5%85%A8%E5%B9%A2+%E4%BA%94%E5%B9%B4%E5%B8%B3%E9%9D%A2%E8%9D%95%E9%80%BE%E5%8D%83%E8%90%AC/?variant=zh-hk,,114.1694,22.3121,835497.9,819235.6,114.1694,22.3121,835497.9,819235.6
2/9/2021,KLN,CSW,長沙灣,320-336 Shun Ning Road,順寧道320-336號全幢,Hing Lung Building,興隆樓,Site,地盤,全幢,,11800,NA,NA,320.48, NA ,?,?,住宅（甲類）(1),shunningroad320-336.jpg,無原業主資料,HING SHUN PROPERTY LIMITED,,,,114.1568,22.3386,834200,822170.2,114.1568,22.3386,834200,822170.2
2/5/2019,KLN,KTG,觀塘,1 Tai Yip Street,大業街1號全幢,Hay Nien Building,禧年大廈,Industrial Building,工業大廈,全幢,,NA,62889,62889,489,7775.6,NA,NA,其他指定用途,taiyipstreet1.jpg,CHAN CHU HO,Mr Yip,,https://orientaldaily.on.cc/cnt/finance/20190313/00204_006.html,,114.2162,22.3152,840319.8,819579.4,114.2162,22.3152,840319.8,819579.4
10/5/2019,KLN,JOD,佐敦,7-8 Tak Hing Street,德興街7-8號,Knight Garden,禮苑,Shop,商舖,低層地下,"7A,7B",NA,2200,2200,371.75,"168,977.27",NA,NA,住宅（甲類）,takhingstreet7-8.jpg,POPULAR INVESTMENT COMPANY LIMITED,Miss NG,餐廳,,,114.1723,22.3046,835796.7,818405.1,114.1723,22.3046,835796.7,818405.1
30/3/2022,KLN,JOD,佐敦,2 Tak Shing Street,德成街2號,Arbour,本木,Shop,商舖,"地下
一樓",全層,NA,"6584
4081",10665,210,"19,690.58",NA,NA,住宅（甲類）,takshingstreet2.jpg,無原業主資料,GOOD LUCKY LIMITED,,,,114.1726,22.3043,835827.6,818371.9,114.1726,22.3043,835827.6,818371.9
19/10/2021,KLN,MGK,旺角,25 Tong Mi Road,塘尾道25號全幢,Chow Shing Kee Commercial Building,周勝記商業大廈,Commercial Building,商業大廈,全幢,,NA,21900,21900,153.8,7022.83,NA,NA,住宅（甲類）,tongmiroad25.jpg,無原業主資料,CASTLE EASE CORPORATION LIMITED,,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/690492/%E5%A4%A7%E5%9D%91%E8%88%96%E7%8E%8B-%E5%91%A8%E5%8B%9D%E8%A8%98%E5%AE%B6%E6%97%8F%E9%80%BE1-5%E5%84%84%E6%B2%BD%E5%A4%A7%E8%A7%92%E5%92%80%E5%95%86%E5%BB%88-%E5%85%A9%E5%80%8B%E6%9C%88%E5%A5%97%E7%8F%BE6-8%E5%84%84,,114.1657,22.3192,835116.7,820021.9,114.1657,22.3192,835116.7,820021.9
13/9/2021,KLN,KTG,觀塘,48 Tsun Yip Street,駿業街48號,Sun Wing Building,新榮大樓,Shop,商舖,地下,A1&B& Yard,NA,3700,3700,121,"32,702.70",NA,NA,商業（1）,tsunyipstreet48.jpg,無原業主資料,Miss WAI,餐廳,https://www.midlandici.com.hk/ics/property/article/detail/32811,,114.2219,22.3106,840907.3,819070.2,114.2219,22.3106,840907.3,819070.2
5/10/2021,KLN,KLC,九龍城,116 Waterloo Road,窩打老道116號全幢,Bluejay Residences,,Residential Building,住宅大廈,全幢,,9200,NA,NA,328, NA ,46100,7115,住宅（乙類）,waterlooroad116.jpg,MUCH GLORY LIMITED,WELLWAY LIMITED,,https://hd.stheadline.com/news/realtime/pp/2252704/%E5%8D%B3%E6%99%82-%E5%9C%B0%E7%94%A2-%E9%BA%97%E6%96%B03-28%E5%84%84%E5%90%91%E8%A3%95%E6%B3%B0%E8%88%88%E5%AE%B6%E6%97%8F%E8%B3%BC%E7%AA%A9%E6%89%93%E8%80%81%E9%81%93116%E8%99%9F%E5%9C%B0%E7%9B%A4,,114.1786,22.3248,836445.8,820642,114.1786,22.3248,836445.8,820642
26/7/2021,KLN,YMT,油麻地,40 Waterloo Road,窩打老道40號,Jade Mansion,寶翠大樓,Shop,商舖,"地下
一樓
二樓",GF (3B),NA,"210
9330
9290",18830,300,"15,932.02",NA,NA,商業,waterlooroad40.jpg,無原業主資料,GOLDEN SUPREME CORPORATION LIMITED,,https://www.midlandici.com.hk/ics/property/article/detail/32453,,114.171,22.3128,835662.7,819313.2,114.171,22.3128,835662.7,819313.2
15/10/2021,KLN,MGK,旺角,84-84M Waterloo Road,窩打老道84-84M號,Cambridge Court,冠華園,Shop,商舖,地下,"07A,7B,8,9,13",NA,11506,11506,149.8,"13,019.29",NA,NA,住宅（甲類）,waterlooroad84-84m.jpg,MR LEUNG,EASY BLOOM CORPORATION LIMITED,,,,114.1765,22.3194,836229.4,820044,114.1765,22.3194,836229.4,820044
5/5/2021,KLN,SSP,深水埗,238 Yee Kuk Street ,醫局街238號,Grammy Centre,嘉美中心,Shop,商舖,地下,A-D,NA,16229,16229,149,"9,181.10",NA,NA,住宅（甲類）(6),yeekukstreet238.jpg,無原業主資料,WEALTH CHAIN LIMITED,老人院,https://ps.hket.com/article/2927809,,114.1581,22.3299,834333.8,821206.8,114.1581,22.3299,834333.8,821206.8
30/7/2021,KLN,SSP,深水埗,9-14 Yiu Tung Street,耀東街9-14號,,,CAP545,強拍,全幢,,7725,,,524,,61800,8443,住宅（甲類）(7),yiutungstreet9-14.jpg,無原業主資料,Mr CHOI,強拍，地積比率約8倍,https://hk.finance.yahoo.com/news/%E6%81%92%E5%9C%B0-00012-5-24%E5%84%84%E5%A5%AA%E8%80%80%E6%9D%B1%E8%A1%979-14%E8%99%9F%E7%89%A9%E6%A5%AD-035725813.html,,114.1658,22.3313,835127.1,821361.8,114.1658,22.3313,835127.1,821361.8
21/1/2022,KLN,WTS,黃大仙,68-72 Yuk Wah Street,毓華街68-72號,Manning Theatre Building,萬年戲院大廈,Shop,商舖,"地下
一樓
其他樓層",2&7,NA,"3100
10000
10000",23100,270.5,"11,709.96",NA,NA,住宅（甲類）(3),yukwahstreet68-72.jpg,無原業主資料,Mr LAU,,,,114.2024,22.347,838897.4,823100.5,114.2024,22.347,838897.4,823100.5
23/11/2021,NT,MFO,美孚,1-31 Broadway (Phase 1),百老匯街(1期)1-31號,York Montessori International Pre-School (Mei Foo),美孚新村第一期,Shop,商舖,其他樓層,全層,NA,1001,1001,455,"454,545.45",NA,NA,住宅（甲類）,broadway(phase1)1-31_podium.jpg,無原業主資料,Mr CHAN,,,,114.1381,22.3365,832273.6,821938.1,114.1381,22.3365,832273.6,821938.1
5/8/2021,NT,KCH,葵涌,543 Castle Peak Road-Kwai Chung,青山公路葵涌段543號全幢,Shui Hong Industrial Building,瑞康工業大廈,Industrial Building,工業大廈,全幢,,NA,147000,147000,448,3047.62,NA,NA,其他指定用途,castlepeakroad-kwaichung543.jpg,無原業主資料,Mr ALEX YU,,https://ps.hket.com/article/3009750,,114.1329,22.3693,831739,825570.3,114.1329,22.3693,831739,825570.3
27/9/2019,NT,TWN,荃灣,210 Castle Peak Road-Tsuen Wan,青山公路荃灣段210號,Fou Wah Centre,富華中心,Shop,商舖,一樓,4B(B&C),NA,1480,1480,155,"104,729.73",NA,NA,商業,castlepeakroad-tsuenwan210.jpg,無原業主資料,Mr chris pang,,,,114.1182,22.3728,830225.1,825958.4,114.1182,22.3728,830225.1,825958.4
15/1/2021,NT,SKG,西貢,16 Chan Man Street,親民街16號,Sai Kung Garden,西貢花園,Shop,商舖,"一樓
地下",18（部份入口）,NA,"28161
274",28435,400,"14,067.17",NA,NA,住宅（甲類）（1）,chanmanstreet16.jpg,無原業主資料,LOTUS GARDEN LIMITED,,,,114.2713,22.3824,845992.2,827023.4,114.2713,22.3824,845992.2,827023.4
26/5/2020,NT,TPO,大埔,8 Chui Lok Street,翠樂街8號,Fuller Garden,富萊花園,Shop,商舖,"地下
一樓
二樓",REST B,NA,"1287
9745
8773",19805,167,"8,432.21",NA,NA,住宅（甲類）,chuilokstreet8.jpg,無原業主資料,Miss TONG CHOW,,,,114.1648,22.4539,835025.2,834938,114.1648,22.4539,835025.2,834938
11/7/2019,NT,TWN,荃灣,46-48 Fui Yiu Kok Street,灰窰角街46-48號,,,Industrial Building,工業大廈,全幢,,6382,NA,NA,250, NA ,"60,629",4123,工業,fuiyiukokstreet46-48.jpg,無原業主資料,Mr CHUI,,https://ps.hket.com/article/2397589,,114.1182,22.3657,830224.8,825172.2,114.1182,22.3657,830224.8,825172.2
21/8/2019,NT,TMN,屯門,8 Fuk Hang Tsuen Road,福亨村路8號,The Sherwood,豫豐花園,Shop,商舖,地下,全層,NA,306.5,306.5,190,"619,902.12",NA,NA,綜合發展區,fukhangtsuenroad8_gf.jpg,無原業主資料,Mr CHOI,,,,113.9857,22.4192,816585.4,831107.9,113.9857,22.4192,816585.4,831107.9
20/5/2020,NT,MFO,美孚,8 King Lai Path,景荔徑8號全幢,Nob Hill,盈暉臺,Arcade,商場,全幢,,NA,91779,91779,888,9675.42,NA,NA,住宅（甲類）,kinglaipath8.jpg,無原業主資料,Mr LUN YIU KAY EDWIN,,,,114.138,22.3418,832263.4,822525,114.138,22.3418,832263.4,822525
21/5/2020,NT,KCH,葵涌,31-41 Ko Fong Street,高芳街31-41號,Wealthy Garden,葵芳匯,Shop,商舖,全幢,,NA,59543,59543,450,"7,557.56",NA,NA,住宅（甲類）,kofongstreet31-41.jpg,無原業主資料,Mr LAW,,,,114.1271,22.359,831141.2,824429.9,114.1271,22.359,831141.2,824429.9
